,gesture,real,match,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
45,3,3,TRUE,3.04,2.96,1.091,0.881,0.989,1.884,2.16,0.971,0.8,1.045,0.312,0.423,1.919,2.021,2.127
46,4,4,TRUE,2.989,2.974,2.974,1.588,1.695,1.711,2.111,2.19,2.235,2.401,0.272,0.167,0.379,2.235,2.155
47,6,5,FALSE,2.699,2.951,3.009,2.916,2.151,1.518,2.206,2.348,2.333,1.786,0.547,0.311,0.223,0.452,1.065
48,6,6,TRUE,2.763,2.984,2.992,3.031,3.055,1.716,2.192,2.258,2.343,2.294,0.518,0.299,0.21,0.126,0.077
49,7,7,TRUE,1.621,2.967,3.049,3.031,3.059,0.514,2.181,2.286,2.473,2.374,1.627,0.224,0.133,0.094,0.085
50,8,8,TRUE,2.578,1.269,3.079,3.083,3.069,1.162,1.545,2.222,2.28,2.316,0.681,2.02,0.132,0.045,0.247
51,9,9,TRUE,2.581,0.989,1.257,2.22,2.951,1.058,1.236,1.592,1.281,2.233,0.778,2.106,2.133,0.591,0.159
52,10,10,TRUE,2.674,1.105,1.235,0.866,3.007,1.144,1.486,1.898,1.345,2.178,0.675,2.053,2.13,2.109,0.104
53,11,11,TRUE,1.852,3.023,3.052,1.321,1.554,0.789,2.254,2.266,1.64,1.733,1.347,0.141,0.24,2.028,1.801
54,12,12,TRUE,3.109,2.855,1.268,1.128,2.778,1.842,2.14,1.971,1.511,2.073,0.248,0.371,2.628,2.497,0.072
55,13,13,TRUE,2.172,3.002,1.883,1.841,1.765,1.034,2.264,2.026,1.902,2.419,1.014,0.353,2.257,2.315,2.242
56,14,14,TRUE,1.688,2.984,3.009,2.956,1.622,0.552,2.212,2.352,2.201,1.655,1.568,0.225,0.181,0.17,1.643
57,1,1,TRUE,2.028,1.063,1.239,1.211,1.664,1.291,0.977,1.018,1.112,1.731,1.118,2.088,2.1,2.5,2.757
58,2,2,TRUE,3.041,1.755,1.902,1.907,2.355,1.774,1.338,1.194,1.239,1.605,0.364,2.536,2.121,2.21,1.989
59,3,3,TRUE,3.016,2.704,1.857,1.339,1.641,1.996,2.167,1.228,1.015,1.174,0.145,0.589,2.116,2.493,2.595
60,4,4,TRUE,2.977,2.959,2.83,1.806,2.239,1.656,2.167,1.887,1.788,1.867,0.329,0.21,0.447,2.249,2.321
61,7,5,FALSE,2.576,2.919,2.963,2.788,2.063,1.544,2.203,2.292,2.13,1.79,0.614,0.341,0.218,0.502,1.149
62,6,6,TRUE,2.81,3.05,3.026,2.994,3.031,1.711,2.227,2.277,2.396,2.34,0.495,0.22,0.17,0.106,0.113
63,7,7,TRUE,1.713,2.996,3.081,3.045,3.064,0.656,2.253,2.323,2.487,2.425,1.538,0.168,0.076,0.12,0.058
64,8,8,TRUE,2.567,1.61,2.621,3.05,3.053,1.181,2.107,1.819,2.165,2.327,0.72,1.871,0.423,0.217,0.087
65,10,9,FALSE,2.537,1.469,1.49,2.075,2.955,0.921,1.844,1.814,1.184,2.271,0.848,2.041,2.086,0.74,0.081
66,10,10,TRUE,2.56,1.506,1.539,1.263,3.047,1.217,2.096,2.313,1.947,2.077,0.701,2.319,2.351,2.201,0.181
67,11,11,TRUE,1.781,3.008,3.08,1.868,1.966,0.803,2.172,2.237,2.136,2.278,1.392,0.119,0.276,2.213,2.126
68,12,12,TRUE,3.058,2.763,1.614,1.434,2.733,1.822,2.056,2.27,1.857,1.872,0.19,0.337,2.631,2.442,0.083
69,13,13,TRUE,2.222,2.953,1.92,1.887,1.844,1.065,2.218,1.978,1.853,2.101,0.927,0.35,2.156,2.238,2.105
70,14,14,TRUE,1.784,3.023,2.998,2.98,1.526,0.698,2.182,2.296,2.182,1.517,1.474,0.203,0.184,0.208,1.532
71,1,1,TRUE,2.192,0.981,1.144,1.232,1.657,1.298,1.285,0.962,1.057,1.656,0.976,2.825,2.33,2.45,2.59
72,2,2,TRUE,2.988,1.498,1.497,1.479,2.051,1.755,1.247,1.072,1.109,1.484,0.359,2.592,2.166,2.266,2.001
73,3,3,TRUE,3.032,2.786,1.876,1.454,1.748,2.038,2.219,1.261,1.076,1.246,0.141,0.552,2.051,2.421,2.505
74,4,4,TRUE,2.937,2.95,2.881,1.697,1.978,1.631,2.1,2.052,1.821,2.105,0.419,0.168,0.254,2.124,2.204
75,6,5,FALSE,2.904,2.99,2.97,3.008,2.448,1.763,2.188,2.251,2.357,1.782,0.424,0.236,0.178,0.371,0.948
76,6,6,TRUE,2.84,3.018,3.029,3.027,3.025,1.769,2.211,2.246,2.32,2.266,0.467,0.22,0.167,0.11,0.119
77,7,7,TRUE,1.776,3.009,3.073,3.038,3.062,0.746,2.238,2.31,2.468,2.369,1.447,0.156,0.082,0.116,0.057
78,8,8,TRUE,2.503,1.352,3.037,2.99,2.949,1.23,1.961,1.981,2.121,2.225,0.695,2.226,0.163,0.051,0.103
79,10,9,FALSE,2.476,1.045,1.271,1.163,2.941,1.018,1.445,1.619,0.929,2.329,0.807,2.283,2.236,0.773,0.126
80,10,10,TRUE,2.541,1.455,1.381,1.058,2.962,1.084,2.189,2.129,1.736,2.118,0.714,2.264,2.309,2.299,0.065
81,11,11,TRUE,1.988,3.024,3.056,1.416,1.5,0.91,2.187,2.197,1.458,1.447,1.173,0.155,0.261,1.686,1.578
82,12,12,TRUE,3.069,2.737,1.756,1.693,2.715,1.892,2.201,2.142,1.895,1.979,0.127,0.312,2.589,2.358,0.058
83,11,13,FALSE,2.179,2.902,2.365,2.229,2.372,1.219,2.339,1.652,1.492,1.878,0.978,0.307,2.164,2.296,2.41
84,14,14,TRUE,1.787,2.997,3.037,2.911,1.698,0.524,2.294,2.407,2.344,1.881,1.505,0.233,0.138,0.172,1.811
