75,5,5,TRUE,L,3.061,3.101,3.053,3.076,1.347,1.677,2.268,2.327,2.108,1.439,0.225,0.297,0.197,0.325,1.675
76,6,6,TRUE,L,3.047,3.113,3.114,3.039,3.045,1.777,2.184,2.217,2.279,2.351,0.261,0.218,0.174,0.158,0.127
77,7,7,TRUE,L,1.723,2.995,3.08,2.972,3.009,0.58,2.284,2.353,2.456,2.496,1.614,0.196,0.141,0.244,0.223
78,8,8,TRUE,L,2.476,1.455,2.908,2.82,2.891,0.947,1.569,2.473,2.352,2.333,0.883,2.072,0.474,0.275,0.42
79,9,9,TRUE,L,2.346,0.873,1.14,2.55,2.767,0.712,1.027,1.258,1.751,2.173,1.094,2.166,2.149,0.671,0.607
80,10,10,TRUE,L,2.419,0.783,0.993,0.965,2.566,1.051,0.88,1.117,1.155,1.947,0.981,2.202,2.23,2.32,0.915
81,11,11,TRUE,L,2.174,2.935,3.024,0.882,1.212,0.832,2.258,2.258,0.996,1.222,1.255,0.334,0.442,2.154,2.047
82,12,12,TRUE,L,2.863,3.073,0.771,0.916,2.461,1.567,2.393,1.104,1.123,1.767,0.549,0.467,2.553,2.415,0.957
83,13,13,TRUE,L,2.33,3.115,1.207,1.141,1.063,1.095,2.434,1.436,1.308,1.18,0.921,0.41,2.205,2.156,2.015
84,7,14,FALSE,L,1.548,3.078,3.058,3.044,2.271,0.526,2.239,2.315,2.304,1.593,1.716,0.157,0.083,0.221,0.652
