,gesture,real,match,LR,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
46,6,5,False,L,2.919,3.027,3.087,3.005,2.3,1.613,2.101,2.347,2.349,1.842,0.454,0.16,0.107,0.278,0.747
47,6,6,True,L,2.98,3.05,3.106,3.057,3.065,1.698,2.206,2.263,2.288,2.353,0.359,0.131,0.097,0.053,0.266
48,7,7,True,L,1.669,2.964,3.102,3.033,3.018,0.399,2.222,2.287,2.457,2.333,1.66,0.101,0.085,0.074,0.174
49,8,8,True,L,2.383,1.219,3.024,3.129,2.962,0.754,1.487,2.279,2.376,2.525,0.929,1.904,0.166,0.172,0.263
50,9,9,True,L,2.178,0.716,1.034,2.561,2.874,0.638,0.874,1.29,1.584,2.304,1.211,2.116,2.193,0.458,0.284
51,10,10,True,L,2.324,1.087,1.198,1.118,3.007,0.801,1.177,1.378,1.312,2.381,1.087,1.87,1.893,1.761,0.148
52,11,11,True,L,2.01,2.956,2.926,1.828,1.985,0.682,2.093,2.137,1.652,2.005,1.207,0.06,0.163,2.085,2.035
53,12,12,True,L,2.943,2.988,2.012,2.024,2.943,1.659,1.865,2.15,2.201,2.066,0.206,0.51,2.274,2.148,0.021
54,13,13,True,L,2.227,2.98,1.762,1.797,1.838,1.031,2.116,1.795,1.718,1.967,0.958,0.199,2.053,2.041,1.871
55,14,14,True,L,1.952,3.005,3.047,2.995,1.516,0.475,2.247,2.315,2.426,1.592,1.352,0.161,0.038,0.094,1.599
56,7,1,False,L,2.441,2.066,2.232,2.239,2.263,1.141,2.07,1.951,1.976,2.519,0.86,2.196,2.267,2.315,2.331
57,6,2,False,L,2.911,2.192,2.217,2.289,2.648,1.845,1.979,1.644,1.724,2.365,0.237,2.138,2.235,2.293,2.103
58,12,3,False,L,2.991,2.865,2.066,2.127,2.172,1.804,2.233,1.941,1.807,2.288,0.236,0.243,2.134,2.23,2.193
59,6,5,False,L,2.856,3.0,3.057,3.006,2.293,1.606,2.033,2.386,2.367,1.965,0.549,0.146,0.101,0.356,0.933
