,gesture,real,match,LR,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
1,1,1,R,True,2.23,0.616,0.583,0.678,0.787,1.205,0.614,0.556,0.654,0.924,1.027,2.314,2.363,2.427,2.519
2,2,2,R,True,3.121,0.239,0.497,0.546,0.808,1.976,0.514,0.478,0.528,0.868,0.193,2.936,2.084,2.161,2.173
3,3,3,R,True,3.052,2.863,1.028,1.036,1.159,1.82,2.211,0.962,0.938,1.202,0.114,0.482,2.251,2.144,2.092
4,4,4,R,True,3.004,3.048,3.016,1.123,1.304,1.645,2.102,2.271,1.47,1.692,0.15,0.206,0.327,2.106,1.972
5,5,5,R,True,3.037,3.027,3.027,2.967,1.655,1.748,2.218,2.274,2.345,2.083,0.316,0.19,0.151,0.103,2.077
6,6,6,R,True,2.999,3.035,2.972,3.04,3.074,1.843,2.245,2.316,2.321,2.292,0.213,0.202,0.091,0.039,0.061
7,7,7,R,True,1.748,3.034,3.117,3.049,3.015,0.544,2.269,2.336,2.443,2.295,1.503,0.249,0.141,0.174,0.034
8,8,8,R,True,2.436,1.051,2.866,2.992,2.996,0.959,1.483,2.266,2.436,2.284,0.838,2.027,0.115,0.124,0.156
9,9,9,R,True,2.505,0.39,1.088,2.944,2.935,0.744,0.755,1.263,1.903,2.325,0.872,2.661,2.139,0.353,0.151
10,10,10,R,True,2.603,1.028,1.095,0.968,2.785,1.119,1.374,1.537,1.376,2.177,0.817,2.403,2.392,2.45,0.134
11,11,11,R,True,2.132,3.017,3.058,1.251,1.293,0.718,2.133,2.36,1.436,1.419,1.144,0.294,0.314,2.02,1.89
12,12,12,R,True,3.114,3.042,1.328,1.247,2.997,1.79,2.234,1.715,1.675,2.299,0.307,0.464,2.496,2.416,0.281
13,13,13,L,True,2.432,3.038,1.555,1.734,1.896,1.098,2.206,1.816,1.866,2.062,0.784,0.331,2.352,2.193,1.993
14,7,14,R,False,1.874,2.951,3.055,2.947,2.097,0.545,2.326,2.491,2.587,2.328,1.358,0.267,0.163,0.2,2.029
