,gesture,real,match,LR,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
46,4,4,True,L,2.875,2.957,2.885,1.546,1.814,1.282,2.213,2.204,1.391,1.433,0.541,0.479,0.631,2.325,2.219
47,6,5,False,L,2.989,3.028,3.07,2.668,2.269,1.445,2.177,2.123,2.078,2.09,0.389,0.275,0.239,0.485,1.214
48,6,6,True,L,2.962,3.071,3.01,2.993,2.941,1.466,2.123,2.215,2.313,2.209,0.338,0.183,0.18,0.094,0.146
49,7,7,True,L,1.956,3.13,3.111,2.954,2.977,0.377,2.104,2.188,2.253,2.192,1.322,0.138,0.112,0.092,0.213
50,8,8,True,L,2.525,1.232,2.713,2.862,2.899,0.922,1.381,2.037,2.362,2.318,0.888,2.02,0.513,0.228,0.283
51,0,9,False,L,2.63,1.771,1.657,2.588,3.028,1.004,1.837,1.744,1.993,2.31,0.784,1.851,1.842,0.824,0.058
52,0,10,False,L,2.77,1.78,1.704,1.668,2.944,1.268,1.884,2.029,1.861,2.173,0.625,1.936,1.963,1.726,0.024
53,11,11,True,L,2.629,2.852,2.789,1.642,1.899,0.89,2.046,2.124,1.452,1.633,0.793,0.359,0.556,2.044,2.003
54,12,12,True,L,2.99,2.984,1.523,1.677,3.014,1.657,2.303,1.619,1.846,2.296,0.367,0.408,2.178,2.057,0.109
55,13,13,True,L,2.772,3.063,1.375,1.309,1.448,0.983,2.483,1.325,1.147,1.215,0.766,0.468,2.239,2.257,2.237
56,14,14,True,L,2.308,2.961,2.963,2.805,1.733,0.821,2.254,2.274,2.002,1.87,1.017,0.345,0.528,0.706,2.26
57,2,1,False,L,2.877,1.314,1.315,1.272,1.31,1.261,1.16,1.154,1.113,1.096,0.597,2.359,2.529,2.558,2.416
58,2,2,True,L,3.076,1.456,1.337,1.352,1.514,1.769,1.242,1.087,1.116,1.058,0.271,2.546,2.614,2.664,1.839
59,3,3,True,L,2.9,3.02,1.226,1.098,1.145,1.577,2.508,1.065,0.936,0.967,0.403,0.436,2.425,2.417,2.235
60,4,4,True,L,2.966,3.066,2.917,1.793,2.292,1.613,2.162,2.076,1.396,1.635,0.28,0.294,0.404,1.911,1.967
61,5,5,True,L,2.999,3.084,3.047,2.829,1.944,1.557,2.093,2.101,2.071,1.872,0.323,0.296,0.249,0.342,1.507
62,6,6,True,L,2.966,3.09,3.069,2.983,2.903,1.585,2.108,2.196,2.241,2.191,0.319,0.165,0.175,0.079,0.154
63,7,7,True,L,1.886,3.083,3.09,2.911,2.926,0.412,2.134,2.24,2.275,2.218,1.353,0.133,0.083,0.005,0.093
64,7,7,True,L,2.761,1.911,2.715,2.933,3.047,1.066,1.711,2.395,2.05,2.445,0.739,1.461,0.75,0.505,0.252
65,0,8,False,L,2.644,1.733,1.599,2.683,3.107,0.971,1.931,1.887,2.049,2.19,0.82,1.882,1.887,0.691,0.068
66,12,9,False,L,3.026,2.129,1.913,1.948,2.985,1.381,2.113,2.22,2.235,2.202,0.466,2.099,2.081,1.849,0.072
67,11,11,True,L,2.59,2.892,2.824,1.677,2.071,0.78,2.206,2.196,1.523,1.777,0.964,0.364,0.399,2.111,2.019
68,12,12,True,L,2.997,2.809,1.782,1.892,3.009,1.827,2.534,1.939,1.922,2.124,0.089,0.335,2.131,1.859,0.199
69,13,13,True,L,2.68,3.025,1.575,1.543,1.697,0.927,2.369,1.47,1.309,1.479,0.771,0.438,2.242,2.249,2.237
70,14,14,True,L,2.202,2.953,2.971,2.812,1.827,0.683,2.083,2.172,2.136,1.982,1.11,0.293,0.177,0.429,2.251
71,1,1,True,L,2.752,1.312,1.316,1.273,1.276,1.107,1.114,1.07,1.039,1.011,0.764,2.53,2.572,2.595,2.464
72,2,2,True,L,3.067,1.245,1.214,1.32,1.5,1.841,0.997,0.987,1.086,1.034,0.268,2.516,2.628,2.708,1.631
73,3,3,True,L,2.841,3.003,1.203,1.128,1.167,1.622,2.454,1.029,0.943,0.95,0.444,0.496,2.503,2.479,2.189
74,4,4,True,L,2.907,2.968,2.94,1.461,1.969,1.297,2.29,2.289,1.383,1.618,0.516,0.385,0.454,2.209,1.961
75,6,5,False,L,3.01,2.969,3.08,2.848,2.478,1.438,2.209,2.257,2.273,2.058,0.308,0.282,0.252,0.362,1.0
76,6,6,True,L,2.84,2.867,2.871,3.008,2.991,1.817,2.036,2.048,2.089,2.084,0.519,0.236,0.187,0.066,0.056
77,6,7,False,L,2.951,2.955,3.031,3.021,2.954,1.796,2.219,2.306,2.273,2.312,0.575,0.307,0.118,0.044,0.163
78,8,8,True,L,2.61,1.351,2.582,2.891,2.902,1.025,1.475,2.002,2.415,2.348,0.808,1.988,0.7,0.229,0.206
79,9,9,True,L,2.69,1.636,1.455,2.61,3.024,1.055,1.692,1.614,2.0,2.314,0.733,1.956,1.968,0.803,0.057
80,12,10,False,L,2.95,1.769,1.637,1.668,2.908,1.423,1.849,1.827,1.755,2.067,0.459,2.097,2.15,1.935,0.26
81,0,10,False,L,2.729,1.538,1.503,1.465,3.024,1.529,1.776,1.855,1.921,2.19,0.762,1.97,2.033,2.0,0.124
82,11,11,True,L,2.502,3.067,2.958,2.018,2.519,0.911,2.07,2.053,1.612,1.865,0.929,0.36,0.256,1.808,1.652
83,12,12,True,L,2.974,2.94,1.391,1.464,2.93,1.47,2.255,1.5,1.604,2.266,0.334,0.286,2.15,1.93,0.146
84,13,13,True,L,2.65,2.989,1.409,1.428,1.649,0.859,2.422,1.33,1.214,1.373,0.869,0.417,2.214,2.199,2.222
85,14,14,True,L,2.3,2.942,2.96,2.752,1.781,0.694,2.097,2.2,2.157,1.926,1.031,0.321,0.132,0.343,2.208
