,gesture,real,match,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
47,5,5,True,3.09,2.986,3.053,2.939,1.269,1.7,2.172,2.143,2.209,1.647,0.282,0.122,0.156,0.111,1.939
48,6,6,True,2.996,3.014,3.086,3.092,3.1,1.787,2.231,2.266,2.361,2.349,0.422,0.074,0.034,0.125,0.182
49,7,7,True,1.909,2.949,3.078,3.078,3.093,0.838,2.178,2.222,2.335,2.323,1.362,0.093,0.022,0.07,0.086
50,8,8,True,2.567,1.232,3.108,3.068,2.989,1.37,1.325,2.171,2.273,2.224,0.662,1.802,0.143,0.109,0.191
51,9,9,True,2.535,0.723,1.213,2.677,2.901,1.268,0.748,1.128,1.81,2.244,0.848,1.57,1.669,0.234,0.268
52,10,10,True,2.338,0.816,1.106,1.035,2.914,1.24,1.046,1.657,1.644,2.076,1.055,2.287,2.494,2.596,0.351
53,11,11,True,2.322,2.937,3.014,1.51,1.569,0.73,2.055,2.229,1.614,1.632,1.044,0.113,0.235,2.15,2.02
54,12,12,True,3.022,2.956,1.298,1.412,2.848,1.966,2.277,1.714,1.638,2.204,0.232,0.223,2.539,2.353,0.404
55,13,13,True,2.372,2.148,2.1,1.993,1.927,0.914,2.081,2.137,2.211,2.34,0.955,1.938,2.218,2.457,2.476
56,14,14,True,2.059,2.974,3.053,2.954,1.347,0.555,2.188,2.212,2.404,1.473,1.268,0.043,0.037,0.081,1.752
57,1,1,True,1.978,0.785,1.24,1.253,1.33,1.149,1.176,1.014,1.099,1.747,1.236,2.821,2.057,2.247,2.333
58,2,2,True,2.971,1.498,1.898,1.758,1.914,1.918,2.18,1.5,1.49,2.231,0.079,2.829,2.245,2.357,2.302
59,3,3,True,3.005,3.024,1.396,1.327,1.174,1.865,2.268,1.443,1.308,1.383,0.114,0.328,2.166,2.207,2.183
60,4,4,True,3.027,2.946,3.013,1.516,1.457,1.754,2.184,2.336,1.897,1.778,0.467,0.04,0.114,2.189,2.07
61,5,5,True,3.09,2.968,2.985,2.946,1.543,1.71,2.204,2.239,2.257,1.776,0.357,0.068,0.045,0.055,1.677
62,6,6,True,3.01,3.014,3.121,3.062,3.048,1.866,2.154,2.239,2.361,2.423,0.333,0.061,0.084,0.204,0.198
63,7,7,True,1.967,2.947,3.086,3.038,3.043,0.868,2.199,2.22,2.295,2.354,1.327,0.056,0.031,0.151,0.118
64,8,8,True,1.953,1.067,3.043,2.963,3.032,1.089,1.118,2.329,2.285,2.295,1.274,1.687,0.082,0.168,0.251
65,9,9,True,2.383,0.349,0.791,2.416,2.87,1.11,0.52,0.985,1.855,2.168,0.946,2.45,2.397,0.23,0.192
66,10,10,True,1.988,0.741,0.906,1.027,2.714,0.786,0.885,1.473,1.625,2.016,1.301,2.307,2.667,2.698,0.286
67,11,11,True,2.279,2.89,3.023,1.555,1.571,0.699,2.077,2.313,1.668,1.78,1.088,0.039,0.19,2.142,2.136
