,gesture,real,match,LR,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
19,5,5,R,True,3.084,3.034,3.069,2.963,1.412,1.799,2.205,2.202,2.26,2.056,0.264,0.125,0.091,0.107,2.157
20,6,6,R,True,2.986,2.986,2.892,2.982,3.076,1.818,2.254,2.282,2.324,2.296,0.251,0.226,0.131,0.082,0.031
21,7,7,R,True,1.942,3.048,3.089,3.05,2.997,0.676,2.302,2.333,2.431,2.285,1.337,0.231,0.125,0.131,0.015
22,8,8,R,True,2.575,1.155,2.908,2.986,2.986,0.961,1.341,2.306,2.337,2.349,0.767,1.806,0.119,0.096,0.139
23,9,9,R,True,2.645,0.528,1.169,2.918,2.902,0.795,0.979,1.379,1.757,2.29,0.747,2.612,2.151,0.282,0.257
24,10,10,R,True,2.623,1.136,1.217,0.948,2.693,1.12,1.498,1.732,1.468,2.099,0.818,2.422,2.494,2.576,0.132
25,11,11,R,True,2.29,3.045,3.034,1.163,1.213,0.818,2.195,2.259,1.345,1.329,0.979,0.299,0.309,1.99,1.854
26,12,12,R,True,2.975,3.055,1.282,1.127,2.845,1.703,2.348,1.647,1.542,2.185,0.454,0.564,2.436,2.456,0.25
27,13,13,R,True,2.5,2.989,1.098,1.107,1.16,1.031,2.097,0.979,1.033,1.438,0.766,0.41,1.867,2.036,2.091
28,14,14,R,True,2.17,3.004,3.067,2.978,1.527,0.668,2.326,2.356,2.407,2.165,1.124,0.269,0.119,0.103,2.152
29,1,1,R,True,2.433,0.38,0.454,0.725,1.094,1.236,0.422,0.438,0.675,1.12,0.81,2.485,2.173,2.165,2.179
30,2,2,R,True,3.055,0.749,0.834,0.884,1.337,1.962,1.032,0.83,0.891,1.461,0.157,2.615,2.467,2.541,2.529
31,3,3,R,True,2.998,2.815,1.209,1.144,1.495,1.839,2.319,1.044,1.0,1.361,0.108,0.411,2.237,2.284,2.273
32,4,4,R,True,2.976,3.03,3.049,1.215,1.599,1.689,2.182,2.228,1.658,2.031,0.206,0.177,0.26,2.303,2.226
33,5,5,R,True,3.053,3.047,3.058,3.001,1.539,1.743,2.198,2.21,2.322,2.433,0.311,0.132,0.095,0.061,2.272
34,6,6,R,True,2.986,3.018,2.926,2.996,3.079,1.804,2.261,2.283,2.329,2.286,0.27,0.226,0.118,0.072,0.055
35,7,7,R,True,2.002,3.067,3.079,3.043,3.008,0.67,2.325,2.352,2.436,2.3,1.255,0.22,0.112,0.094,0.066
36,8,8,R,True,2.577,1.157,2.875,2.985,2.952,0.912,1.353,2.205,2.304,2.325,0.747,1.807,0.17,0.117,0.127
37,9,9,R,True,2.676,0.494,1.192,2.764,2.928,0.918,0.837,1.407,1.674,2.319,0.724,2.488,2.115,0.366,0.235
38,10,10,R,True,2.716,0.974,1.149,0.882,2.813,1.262,1.385,1.797,1.484,2.162,0.693,2.407,2.443,2.497,0.138
39,11,11,R,True,2.259,3.069,3.022,1.446,1.413,0.768,2.188,2.259,1.77,1.686,1.0,0.259,0.312,2.044,1.916
40,12,12,R,True,2.893,3.129,1.273,1.158,2.936,1.671,2.243,1.679,1.559,2.209,0.495,0.477,2.456,2.384,0.219
41,13,13,R,True,2.406,3.001,1.562,1.487,1.888,0.89,2.168,1.432,1.426,1.949,0.84,0.435,2.101,2.245,2.24
42,14,14,R,True,2.1,3.016,3.014,3.053,1.716,0.604,2.328,2.347,2.364,2.137,1.236,0.279,0.179,0.171,2.061
43,1,1,L,True,2.252,1.598,1.691,1.582,2.396,1.183,1.458,1.185,1.151,1.467,0.962,2.46,2.294,2.508,2.52
44,2,2,L,True,2.92,2.269,2.023,1.862,2.673,1.955,1.317,1.167,1.149,1.259,0.41,1.815,1.804,1.996,1.705
45,3,3,L,True,2.804,2.757,1.856,1.284,1.986,1.828,1.211,1.111,0.977,1.36,0.283,0.732,1.955,2.245,2.347
46,4,4,L,True,2.967,2.965,2.701,1.931,2.064,1.693,2.153,1.564,1.433,1.431,0.191,0.173,0.704,2.121,2.232
47,6,5,L,False,2.963,3.015,2.99,2.944,2.146,1.686,2.159,2.304,2.221,1.724,0.357,0.279,0.195,0.359,1.002
48,6,6,L,True,2.976,3.028,3.063,3.087,3.128,1.807,2.21,2.269,2.339,2.201,0.372,0.161,0.121,0.026,0.049
49,7,7,L,True,1.728,2.955,3.111,3.022,3.015,0.664,2.198,2.29,2.439,2.354,1.495,0.137,0.134,0.036,0.149
50,8,8,L,True,2.179,1.617,2.984,3.087,3.041,1.125,1.967,2.221,2.259,2.278,1.05,1.861,0.22,0.101,0.11
51,10,9,L,False,2.347,1.523,1.528,2.059,2.98,0.894,1.796,1.762,1.201,2.178,1.016,1.989,2.006,0.744,0.148
52,0,10,L,False,2.175,1.93,1.794,1.463,2.957,0.926,2.516,2.433,2.113,2.09,1.025,2.244,2.264,2.174,0.136
53,11,11,L,True,1.832,2.882,2.747,1.818,2.025,1.147,2.222,2.272,1.646,1.99,1.341,0.197,0.364,2.18,2.392
54,12,12,L,True,2.887,2.593,2.173,1.935,3.014,1.7,1.586,1.76,1.876,1.525,0.269,0.918,2.164,2.215,0.246
55,13,13,L,True,1.999,2.683,2.311,1.879,2.082,1.198,2.284,1.485,1.377,1.685,1.136,0.521,2.065,2.408,2.607
56,14,14,L,True,1.692,2.955,3.03,2.956,1.667,0.371,2.258,2.399,2.334,1.839,1.592,0.182,0.096,0.172,1.701
57,1,1,L,True,2.184,1.61,1.602,1.52,2.147,1.133,1.486,1.163,1.12,1.331,1.052,2.427,2.327,2.521,2.546
58,2,2,L,True,2.95,1.793,1.913,1.901,2.741,1.829,1.427,1.219,1.265,1.735,0.041,2.408,2.157,2.229,2.001
59,3,3,L,True,2.924,2.994,2.02,1.829,2.328,1.588,2.259,1.497,1.274,1.586,0.063,0.389,2.017,2.151,2.264
60,0,4,L,False,3.055,3.014,3.007,1.872,2.047,1.911,2.2,2.177,2.157,2.367,0.162,0.153,0.234,2.246,2.361
61,5,5,L,True,3.015,3.015,3.02,2.799,1.948,1.686,2.242,2.322,2.09,1.716,0.283,0.276,0.219,0.425,1.088
62,6,6,L,True,2.971,3.03,3.053,3.09,3.1,1.791,2.204,2.258,2.342,2.261,0.384,0.179,0.143,0.056,0.074
63,7,7,L,True,1.773,2.993,3.07,3.021,3.031,0.485,2.182,2.314,2.488,2.339,1.485,0.142,0.105,0.035,0.172
64,8,8,L,True,2.263,1.145,2.988,3.099,3.07,0.878,1.618,2.107,2.276,2.307,1.043,2.129,0.11,0.07,0.176
65,9,9,L,True,2.317,1.019,1.328,2.332,2.746,0.845,1.305,1.561,1.343,2.175,1.024,2.186,2.123,0.491,0.294
66,10,10,L,True,2.364,1.156,1.232,0.971,2.97,1.02,1.773,1.943,1.588,2.114,0.917,2.283,2.289,2.239,0.146
67,11,11,L,True,1.801,2.997,2.881,1.94,2.238,0.719,2.218,2.285,1.808,1.972,1.372,0.157,0.287,2.177,2.258
68,12,12,L,True,3.084,2.976,1.155,1.087,2.823,1.785,2.2,1.913,1.509,2.069,0.285,0.471,2.612,2.434,0.038
69,0,13,L,False,2.17,2.93,1.892,1.971,2.005,0.866,2.119,2.006,1.839,2.276,1.064,0.427,2.168,2.269,2.256
70,14,14,L,True,1.753,2.959,3.033,2.927,1.515,0.408,2.228,2.33,2.219,1.637,1.514,0.2,0.14,0.168,1.686
71,1,1,L,True,2.136,1.469,1.63,1.594,2.318,1.161,1.559,1.162,1.165,1.515,1.042,2.692,2.234,2.437,2.45
