,gesture,real,LR,match,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
46,3,3,L,True,3.048,2.836,1.92,1.617,2.366,1.832,2.227,1.373,1.161,1.493,0.148,0.423,2.057,2.218,2.336
47,0,4,L,False,3.111,2.946,2.85,1.834,2.11,1.864,2.2,2.294,1.97,2.318,0.281,0.192,0.268,2.25,2.356
48,6,5,L,False,3.096,2.94,2.919,3.021,2.319,1.77,2.13,2.17,2.186,2.201,0.348,0.119,0.101,0.347,1.424
49,6,6,L,True,3.049,2.972,3.039,3.036,2.999,1.728,2.186,2.199,2.262,2.299,0.282,0.134,0.101,0.095,0.209
50,7,7,L,True,2.196,3.02,3.114,3.017,3.018,0.789,2.227,2.251,2.291,2.341,1.088,0.109,0.117,0.09,0.267
51,8,8,L,True,2.569,1.559,2.959,3.071,2.993,0.956,1.695,2.17,2.356,2.541,0.737,1.928,0.345,0.053,0.157
52,9,9,L,True,2.564,1.261,1.37,2.677,3.072,0.768,1.586,1.739,1.888,2.445,0.922,2.059,2.11,0.704,0.046
53,0,10,L,False,2.916,1.328,1.487,1.331,2.909,1.348,1.56,1.908,1.686,2.203,0.511,2.026,2.169,2.081,0.27
54,11,11,L,True,2.399,2.968,2.887,1.7,1.887,0.929,2.099,2.093,1.489,1.682,0.834,0.2,0.176,1.722,1.762
55,12,12,L,True,3.002,2.973,1.406,1.457,2.846,1.461,2.161,1.68,1.682,2.103,0.3,0.381,2.337,2.124,0.212
56,13,13,L,True,2.593,3.048,1.967,2.056,2.162,1.047,2.189,1.681,1.448,1.624,0.797,0.382,1.905,2.04,2.172
57,14,14,L,True,2.275,3.0,3.011,2.859,1.792,0.953,2.101,2.235,2.21,1.842,0.984,0.154,0.18,0.202,1.75
58,1,1,L,True,2.517,1.151,1.277,1.315,1.454,1.056,1.338,1.215,1.318,1.41,0.872,2.708,2.638,2.685,2.594
59,2,2,L,True,2.979,1.55,1.478,1.487,1.892,1.84,1.607,1.21,1.193,1.366,0.182,2.757,2.552,2.558,2.049
60,3,3,L,True,2.973,2.949,1.651,1.54,1.948,1.755,2.276,1.395,1.209,1.447,0.118,0.418,2.206,2.297,2.348
61,4,4,L,True,3.106,2.965,2.797,1.789,2.132,1.779,2.178,2.162,1.613,1.874,0.297,0.199,0.216,2.297,2.429
62,5,5,L,True,3.127,2.955,2.94,2.939,1.998,1.794,2.131,2.202,2.408,2.172,0.344,0.118,0.092,0.218,1.796
63,6,6,L,True,3.061,2.978,3.071,3.037,2.987,1.729,2.204,2.236,2.3,2.371,0.329,0.112,0.105,0.074,0.177
64,7,7,L,True,2.071,2.953,3.084,2.984,2.957,0.673,2.19,2.292,2.353,2.406,1.192,0.031,0.082,0.101,0.314
65,8,8,L,True,2.607,1.411,2.993,3.047,3.005,0.956,1.6,2.254,2.308,2.542,0.715,1.962,0.362,0.118,0.213
66,9,9,L,True,2.661,1.048,1.234,2.761,2.981,0.853,1.309,1.505,1.906,2.326,0.804,2.054,2.103,0.518,0.25
67,10,10,L,True,2.778,1.3,1.554,1.421,2.789,1.169,1.524,1.859,1.817,2.277,0.649,2.21,2.325,2.317,0.334
68,11,11,L,True,2.116,2.961,3.015,1.656,1.767,0.732,2.139,2.294,1.676,1.772,1.115,0.031,0.168,1.747,1.727
69,12,12,L,True,3.077,2.895,1.576,1.62,2.819,1.64,2.296,1.988,1.841,2.094,0.292,0.211,2.483,2.273,0.284
70,13,13,L,True,2.394,2.948,2.095,2.282,2.606,1.032,2.259,1.606,1.448,1.639,0.865,0.207,2.131,2.086,2.097
71,14,14,L,True,2.201,3.058,3.065,2.928,1.983,0.845,2.135,2.192,2.323,2.037,1.026,0.241,0.167,0.353,1.757
72,1,1,L,True,2.371,1.646,1.424,1.371,2.139,1.138,1.252,1.061,1.053,1.241,0.898,2.289,2.328,2.478,2.263
73,2,2,L,True,3.073,1.59,1.421,1.444,2.293,1.716,1.487,1.131,1.115,1.323,0.27,2.781,2.59,2.61,1.951
74,3,3,L,True,2.987,2.84,1.775,1.709,2.211,1.766,2.355,1.426,1.265,1.436,0.124,0.349,2.311,2.372,2.311
75,4,4,L,True,3.104,2.963,2.786,1.855,2.337,1.789,2.188,2.087,1.665,1.894,0.347,0.176,0.178,2.197,2.267
76,6,5,L,False,3.035,2.945,2.946,2.617,2.098,1.702,2.109,2.148,1.721,2.027,0.387,0.192,0.162,0.651,1.561
77,6,6,L,True,2.977,3.06,3.131,3.097,3.027,1.653,2.202,2.261,2.236,2.316,0.412,0.153,0.132,0.053,0.195
78,7,7,L,True,1.901,3.047,3.123,3.023,2.997,0.657,2.222,2.281,2.409,2.432,1.391,0.097,0.084,0.034,0.12
79,8,8,L,True,2.592,1.338,2.986,3.032,3.025,0.964,1.527,2.209,2.348,2.535,0.723,1.992,0.348,0.188,0.019
80,9,9,L,True,2.552,0.925,1.211,2.732,2.946,0.683,1.304,1.416,1.67,2.353,0.9,2.285,2.151,0.545,0.116
81,10,10,L,True,2.739,1.079,1.34,1.159,2.906,1.11,1.277,1.718,1.523,2.316,0.688,2.112,2.18,2.129,0.231
82,11,11,L,True,2.083,2.959,2.925,1.463,1.749,0.727,2.09,2.167,1.425,1.697,1.148,0.171,0.213,1.67,1.643
83,12,12,L,True,3.071,2.942,1.377,1.469,2.774,1.634,2.197,1.881,1.759,2.093,0.294,0.26,2.552,2.412,0.3
84,13,13,L,True,2.358,3.051,1.702,1.878,1.945,0.919,2.236,1.677,1.665,1.986,0.932,0.374,2.037,2.109,2.053
85,14,14,L,True,2.3,3.006,3.027,2.896,1.919,0.969,2.093,2.196,2.314,1.905,0.937,0.195,0.182,0.279,1.612
