,gesture,real,LR,match,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
46,0,4,L,False,2.777,2.954,2.925,2.1,2.483,2.035,2.303,2.274,2.042,2.444,0.17,0.138,0.273,2.153,2.282
47,6,5,L,False,3.059,2.971,2.973,3.126,2.277,1.998,2.172,2.249,2.325,2.084,0.26,0.072,0.114,0.396,1.297
48,6,6,L,True,2.947,2.952,3.022,3.064,3.051,2.117,2.193,2.246,2.374,2.439,0.101,0.254,0.166,0.104,0.148
49,7,7,L,True,1.996,3.007,3.102,3.019,3.065,0.833,2.257,2.286,2.518,2.42,1.279,0.081,0.106,0.067,0.101
50,8,8,L,True,2.448,1.635,2.771,2.919,2.953,0.981,1.929,2.267,2.252,2.282,0.951,1.891,0.395,0.197,0.104
51,0,9,L,False,2.481,1.909,1.734,2.29,2.897,1.065,2.01,1.948,1.402,2.284,0.85,1.997,2.091,0.97,0.125
52,0,10,L,False,2.866,1.678,1.786,1.803,2.877,1.426,2.078,2.042,2.11,1.836,0.369,2.303,2.435,2.325,0.284
53,0,11,L,False,1.825,2.91,2.912,1.987,2.091,0.814,2.15,2.361,2.03,2.533,1.37,0.039,0.117,2.241,2.386
54,12,12,L,True,2.784,2.682,1.967,2.003,2.738,1.988,2.189,1.849,1.863,1.995,0.145,0.215,2.311,2.15,0.299
55,13,13,L,True,2.09,2.879,2.178,2.186,2.455,1.097,2.301,1.661,1.556,1.826,1.106,0.244,2.07,2.209,2.242
56,14,14,L,True,1.7,3.006,3.125,2.888,1.769,0.763,2.162,2.271,2.423,2.344,1.569,0.103,0.087,0.199,2.088
57,1,1,L,True,2.125,1.485,1.776,1.599,2.166,1.297,1.496,1.24,1.205,1.59,1.061,2.423,2.194,2.426,2.495
58,12,2,L,False,2.805,1.921,1.937,1.898,2.622,2.037,1.505,1.314,1.392,2.064,0.161,2.175,2.11,2.185,1.894
59,4,3,L,False,2.654,3.006,2.358,2.25,2.623,1.948,1.975,1.605,1.418,1.923,0.348,0.356,1.874,1.986,2.065
60,0,4,L,False,2.756,2.965,2.925,2.143,2.419,2.012,2.22,2.151,1.841,2.247,0.213,0.141,0.276,2.041,2.162
61,6,5,L,False,2.946,3.012,2.932,3.077,2.069,2.038,2.145,2.204,2.223,2.034,0.166,0.091,0.074,0.377,1.497
62,6,6,L,True,3.067,2.951,3.027,3.086,3.089,1.997,2.154,2.172,2.318,2.294,0.155,0.111,0.066,0.069,0.138
63,7,7,L,True,1.857,2.988,3.09,3.056,3.053,0.825,2.152,2.273,2.431,2.31,1.379,0.085,0.077,0.078,0.148
64,8,8,L,True,2.412,1.591,2.876,2.945,2.967,1.137,1.823,2.245,2.271,2.268,0.965,1.845,0.358,0.181,0.095
65,0,9,L,False,2.396,1.725,1.488,1.919,3.045,0.837,1.986,2.089,1.303,2.224,1.056,2.076,2.304,0.965,0.075
66,0,10,L,False,2.512,2.246,2.028,1.934,2.803,1.134,2.435,2.299,2.173,2.039,0.933,2.359,2.471,2.296,0.411
67,0,11,L,False,1.765,2.948,2.923,2.018,2.207,0.833,2.149,2.348,1.936,2.351,1.42,0.028,0.174,2.261,2.374
68,12,12,L,True,2.733,2.886,1.753,1.753,2.909,1.934,2.138,1.757,1.759,1.622,0.201,0.245,2.127,2.033,0.357
69,13,13,L,True,2.063,2.836,2.042,2.141,2.563,1.02,2.3,1.654,1.567,1.875,1.128,0.239,1.962,2.108,2.147
70,7,14,L,False,1.83,3.03,3.074,2.847,2.043,0.811,2.147,2.324,2.491,2.284,1.393,0.168,0.077,0.232,1.94
71,1,1,L,True,2.212,1.691,1.861,1.589,2.247,1.237,1.524,1.29,1.192,1.42,1.011,2.387,2.209,2.462,2.415
72,3,2,L,False,2.648,1.876,2.001,1.855,2.47,2.059,1.697,1.464,1.422,1.925,0.392,2.145,2.144,2.199,1.885
73,4,3,L,False,2.518,2.975,2.207,2.054,2.352,1.981,2.155,1.698,1.436,1.761,0.451,0.367,1.979,2.146,2.173
