	gesture	real	match	LR	FA1	2	3	4	5	FD1	2	3	4	5	HA1	2	3	4	5
44	2	2	L	TRUE	3.073	0.203	0.785	0.832	0.697	2.074	0.968	0.724	0.775	0.848	0.154	2.656	2.073	2.155	2.394
45	3	3	L	TRUE	3.132	3.017	1.04	0.909	0.733	1.798	2.181	1.065	0.929	0.893	0.244	0.346	2.137	2.181	2.245
46	4	4	L	TRUE	3.092	3.002	3.049	1.017	0.858	1.761	2.184	2.253	1.352	1.164	0.266	0.118	0.204	2.334	2.292
47	5	5	L	TRUE	3.07	3.03	3.026	2.965	1.201	1.727	2.179	2.131	2.225	1.427	0.389	0.105	0.104	0.085	1.788
48	6	6	L	TRUE	2.984	3.084	3.08	3.031	3.015	1.828	2.201	2.248	2.343	2.338	0.394	0.072	0.1	0.142	0.217
49	7	7	L	TRUE	1.93	2.991	3.067	3.036	3.09	0.46	2.196	2.228	2.404	2.29	1.416	0.086	0.071	0.042	0.043
50	8	8	L	TRUE	2.389	0.837	3.096	3.032	2.986	0.927	0.842	2.403	2.365	2.36	0.919	1.834	0.151	0.084	0.104
51	0	9	L	FALSE	2.897	1.496	0.499	2.784	3.051	1.137	1.012	0.944	1.81	2.43	0.532	0.139	2.608	0.607	0.19
52	10	10	L	TRUE	2.852	1.21	1.216	0.889	3.018	1.222	1.477	1.685	1.358	2.214	0.6	2.163	2.295	2.388	0.193
53	11	11	L	TRUE	2.412	2.905	3.049	1.06	1.247	0.88	2.11	2.239	1.358	1.414	1.057	0.051	0.21	2.231	2.031
54	12	12	L	TRUE	2.787	2.97	1.165	1.234	2.889	1.592	2.199	1.866	1.775	2.235	0.568	0.32	2.658	2.551	0.376
55	13	13	L	TRUE	2.399	3.065	1.086	1.264	1.147	0.993	2.271	1.429	1.513	1.362	0.979	0.355	2.283	2.253	2.132
56	14	14	L	TRUE	2.119	3.009	3.078	2.959	1.369	0.445	2.221	2.217	2.405	1.641	1.315	0.166	0.095	0.125	2.075
57	1	1	L	TRUE	2.093	0.192	0.61	0.659	0.715	1.24	0.446	0.573	0.615	0.785	1.165	2.526	1.893	1.943	2.041
58	2	2	L	TRUE	3.043	0.058	0.636	0.694	0.761	2.014	0.888	0.595	0.647	0.802	0.17	2.515	1.959	2.021	2.109
59	3	3	L	TRUE	3.069	3.031	1.222	1.085	0.96	1.785	2.231	1.28	1.128	1.168	0.169	0.403	2.148	2.209	2.23
60	4	4	L	TRUE	3.091	3.053	3.053	0.803	0.686	1.703	2.194	2.2	1.036	0.857	0.186	0.256	0.254	2.371	2.328
61	5	5	L	TRUE	3.124	3.08	3.089	3.006	1.108	1.71	2.199	2.156	2.306	1.16	0.295	0.139	0.148	0.096	1.603
62	6	6	L	TRUE	3.003	3.097	3.065	3.016	2.99	1.925	2.116	2.164	2.259	2.255	0.362	0.039	0.107	0.162	0.178
63	7	7	L	TRUE	1.917	2.916	3.074	3.058	3.124	0.507	2.218	2.231	2.361	2.445	1.46	0.038	0.032	0.143	0.068
64	8	8	L	TRUE	2.618	0.805	3.057	3.082	3.107	1	0.965	2.304	2.375	2.382	0.709	2.125	0.199	0.169	0.062
65	9	9	L	TRUE	2.8	0.3	0.524	2.852	2.995	1.091	0.557	1.003	1.922	2.38	0.723	2.515	2.68	0.55	0.124
66	10	10	L	TRUE	2.76	1.229	1.24	0.956	2.987	1.16	1.336	1.569	1.276	2.205	0.714	1.988	2.178	2.247	0.211
