º€«œ¿œ,gesture,real,LR,match,FA1,FA2,FA3,FA4,FA5,FD1,FD2,FD3,FD4,FD5,HA1,HA2,HA3,HA4,HA5,result1,result2,result3,result4,result5
78,8,8,L,TRUE,2.622,0.979,2.998,3.049,3.033,1.151,0.967,2.398,2.333,2.341,0.773,1.581,0.138,0.164,0.219,0,0,1,1,1
79,9,9,L,TRUE,2.435,0.598,0.967,2.667,2.912,0.975,0.779,1.11,1.893,2.041,0.998,2.262,2.194,0.264,0.239,0,0,0,1,1
80,10,10,L,TRUE,2.482,0.9,1.198,0.922,2.954,1.136,0.951,1.612,1.309,2.193,0.95,1.944,2.29,2.37,0.271,0,0,0,0,1
81,11,11,L,TRUE,2.297,2.942,3.086,1.203,1.089,0.768,2.094,2.265,1.552,1.198,1.148,0.098,0.239,2.332,2.064,0,1,1,0,0
82,12,12,L,TRUE,3.024,2.933,1.238,1.18,2.933,1.863,2.19,1.753,1.637,2.288,0.376,0.27,2.552,2.487,0.315,1,1,0,0,1
83,13,13,L,TRUE,2.323,3.041,1.426,1.576,1.407,0.822,2.145,1.814,1.796,1.661,0.982,0.32,2.314,2.296,2.119,0,1,0,0,0
84,14,14,L,TRUE,2.219,3.021,3.093,2.928,1.234,0.447,2.18,2.156,2.348,1.476,1.23,0.077,0.088,0.101,2.052,0,1,1,1,0
1,1,1,R,TRUE,2.439,0.571,0.49,0.626,0.776,1.303,0.569,0.472,0.593,0.778,0.805,2.281,2.342,2.278,2.239,0,0,0,0,0
2,2,2,R,TRUE,3.111,0.747,0.799,0.834,1.109,1.935,1.01,0.836,0.868,1.276,0.209,2.543,2.503,2.521,2.437,1,0,0,0,0
3,3,3,R,TRUE,3.03,2.783,1.191,1.134,1.645,1.837,2.342,1.014,0.954,1.289,0.098,0.409,2.163,2.211,2.212,1,1,0,0,0
4,4,4,R,TRUE,2.976,3.026,3.071,1.188,1.432,1.605,2.126,2.209,1.399,1.593,0.203,0.232,0.334,1.986,1.828,1,1,1,0,0
5,5,5,R,TRUE,2.997,3.04,3.051,3.038,1.607,1.715,2.174,2.162,2.267,1.7,0.302,0.13,0.121,0.083,1.618,1,1,1,1,0
6,6,6,R,TRUE,2.987,3.048,2.982,3.013,3.012,1.78,2.217,2.351,2.4,2.373,0.268,0.185,0.092,0.052,0.058,1,1,1,1,1
7,7,7,R,TRUE,1.801,3.015,3.11,3.04,3.017,0.62,2.289,2.367,2.472,2.306,1.449,0.218,0.127,0.165,0.018,0,1,1,1,1
8,8,8,R,TRUE,2.637,1.05,2.916,2.935,2.997,1.063,1.079,2.335,2.397,2.347,0.617,1.695,0.211,0.181,0.221,0,0,1,1,1
9,9,9,R,TRUE,2.543,0.444,1.209,2.97,2.862,0.819,0.708,1.333,1.91,2.255,0.817,2.476,1.979,0.35,0.239,0,0,0,1,1
10,10,10,R,TRUE,2.593,1.01,1.15,0.809,2.791,1.053,1.217,1.413,1,2.14,0.833,2.2,2.163,2.166,0.193,0,0,0,0,1
11,11,11,R,TRUE,2.129,2.979,2.968,1.387,1.288,0.86,2.221,2.394,1.411,1.302,1.113,0.306,0.33,1.997,1.88,0,1,1,0,0
12,12,12,R,TRUE,3.016,3.045,1.265,1.172,2.927,1.767,2.244,1.543,1.429,2.255,0.399,0.402,2.38,2.306,0.294,1,1,0,0,1
13,13,13,R,TRUE,2.41,3.006,1.158,1.173,1.392,0.976,2.126,1.12,1.145,1.511,0.816,0.443,2.077,2.16,2.129,0,1,0,0,0
14,14,14,R,TRUE,2.18,2.99,3.021,2.986,1.551,0.761,2.259,2.274,2.488,1.848,1.091,0.24,0.119,0.065,1.964,0,1,1,1,0
15,1,1,R,TRUE,2.356,0.547,0.541,0.693,0.914,1.266,0.584,0.517,0.647,0.91,0.887,2.411,2.25,2.216,2.169,0,0,0,0,0
16,2,2,R,TRUE,3.08,0.749,0.863,0.903,1.418,1.901,1.085,0.876,0.905,1.371,0.138,2.716,2.49,2.533,2.374,1,0,0,0,0
17,3,3,R,TRUE,3.085,2.793,1.031,0.985,1.525,1.799,2.355,0.901,0.844,1.204,0.162,0.421,2.148,2.105,2.071,1,1,0,0,0
18,4,4,R,TRUE,2.971,2.999,3.078,1.212,1.53,1.605,2.108,2.22,1.314,1.578,0.24,0.218,0.327,1.951,1.827,1,1,1,0,0
19,5,5,R,TRUE,2.973,3.016,3.041,3.026,1.577,1.642,2.163,2.203,2.29,1.762,0.319,0.156,0.133,0.097,1.74,1,1,1,1,0
20,6,6,R,TRUE,2.983,3.045,2.948,3.013,3.035,1.788,2.224,2.357,2.4,2.367,0.289,0.201,0.133,0.067,0.019,1,1,1,1,1
21,7,7,R,TRUE,1.764,2.976,3.064,3.062,3.032,0.674,2.253,2.345,2.483,2.338,1.47,0.222,0.137,0.161,0.036,0,1,1,1,1
22,8,8,R,TRUE,2.432,1.036,2.895,2.933,3.074,1.023,1.344,2.235,2.404,2.318,0.825,1.863,0.057,0.088,0.16,0,0,1,1,1
23,9,9,R,TRUE,2.398,0.558,1.363,2.905,2.812,0.763,0.809,1.382,1.976,2.259,0.975,2.334,1.865,0.355,0.244,0,0,0,1,1
24,10,10,R,TRUE,2.557,1.071,1.289,0.921,2.696,0.992,1.276,1.482,1.142,2.05,0.835,2.197,2.192,2.206,0.229,0,0,0,0,1
25,11,11,R,TRUE,2.064,3.022,2.943,1.585,1.527,0.785,2.216,2.376,1.619,1.665,1.2,0.253,0.292,2.088,2.106,0,1,1,0,0
26,12,12,R,TRUE,2.998,2.974,1.385,1.273,2.811,1.762,2.22,1.66,1.572,2.149,0.354,0.409,2.371,2.34,0.267,1,1,0,0,1
27,13,13,R,TRUE,2.431,3.027,1.476,1.495,1.661,1.123,2.185,1.434,1.444,1.694,0.759,0.502,2.054,2.149,2.066,0,1,0,0,0
28,14,14,R,TRUE,2.235,3.027,3.013,2.96,1.818,0.799,2.257,2.27,2.353,1.918,1.055,0.187,0.108,0.111,1.874,0,1,1,1,0
29,1,1,R,TRUE,2.333,0.951,0.899,1.005,1.4,1.164,0.956,0.855,0.946,1.297,0.902,2.252,2.431,2.485,2.41,0,0,0,0,0
30,2,2,R,TRUE,3.044,1.17,1.165,1.219,1.845,1.865,1.4,1.129,1.155,1.483,0.191,2.631,2.616,2.668,2.348,1,0,0,0,0
31,3,3,R,TRUE,3.064,2.716,1.212,1.249,1.782,1.789,2.353,1.058,1.047,1.294,0.207,0.364,2.237,2.338,2.252,1,1,0,0,0
32,4,4,R,TRUE,2.975,2.991,3.021,1.359,1.701,1.588,2.13,2.209,1.443,1.641,0.22,0.192,0.303,2.04,1.974,1,1,1,0,0
33,5,5,R,TRUE,3.007,3.029,3.031,3.085,1.768,1.692,2.162,2.216,2.178,1.786,0.294,0.139,0.106,0.146,1.575,1,1,1,1,0
34,6,6,R,TRUE,3.016,3.056,3.001,3.058,3.019,1.811,2.245,2.359,2.406,2.37,0.236,0.167,0.086,0.008,0.058,1,1,1,1,1
35,7,7,R,TRUE,1.764,2.998,3.092,3.06,2.965,0.644,2.263,2.356,2.446,2.376,1.457,0.241,0.153,0.157,0.016,0,1,1,1,1
36,8,8,R,TRUE,2.39,1.172,2.783,2.895,3.007,1.104,1.565,2.146,2.304,2.295,0.832,1.861,0.107,0.119,0.105,0,0,1,1,1
37,9,9,R,TRUE,2.324,0.897,1.326,2.719,2.781,0.752,1.093,1.311,1.699,2.229,1.042,2.077,1.832,0.41,0.278,0,0,0,1,1
38,10,10,R,TRUE,2.573,1.006,1.236,0.924,2.776,1.096,1.19,1.436,1.193,2.044,0.815,2.14,2.151,2.216,0.243,0,0,0,0,1
39,11,11,R,TRUE,2,2.981,2.929,1.618,1.594,0.832,2.204,2.275,1.65,1.677,1.202,0.266,0.323,2.032,2.021,0,1,1,0,0
40,12,12,R,TRUE,3.004,2.837,1.53,1.399,2.892,1.697,2.005,1.656,1.61,2.122,0.342,0.529,2.273,2.228,0.212,1,1,0,0,1
41,13,13,R,TRUE,2.323,2.928,1.481,1.43,1.928,0.956,2.193,1.24,1.194,1.688,0.902,0.5,2.002,2.173,2.205,0,1,0,0,0
42,14,14,R,TRUE,2.214,2.953,3.012,3.041,1.916,0.895,2.264,2.31,2.427,2.149,1.033,0.29,0.184,0.275,1.874,0,1,1,1,0
43,1,1,L,TRUE,2.267,0.175,0.355,0.504,0.481,1.257,0.284,0.356,0.495,0.61,1.035,2.628,2.335,2.179,2.392,0,0,0,0,0
44,2,2,L,TRUE,3.034,0.242,0.573,0.628,0.477,1.918,0.263,0.549,0.589,0.513,0.263,2.496,1.714,1.818,2.136,1,0,0,0,0
46,3,3,L,TRUE,3.122,2.98,1.171,0.829,1.067,1.785,2.114,1.095,0.865,1.371,0.296,0.601,1.881,2.228,2.306,1,1,0,0,0
47,4,4,L,TRUE,3.014,2.933,2.941,1.175,1.385,1.661,2.133,2.076,1.486,1.808,0.373,0.238,0.367,2.123,2.017,1,1,1,0,0
48,7,5,L,FALSE,2.554,2.989,2.976,2.986,2.018,1.628,2.142,2.192,2.273,1.594,0.723,0.286,0.193,0.437,1.276,1,1,1,1,0
49,7,6,L,FALSE,2.61,2.974,2.967,3.009,3.095,1.604,2.219,2.234,2.31,2.246,0.661,0.272,0.192,0.168,0.162,1,1,1,1,1
50,7,7,L,TRUE,1.76,2.967,2.989,3.005,3.088,0.482,2.284,2.304,2.442,2.399,1.53,0.197,0.112,0.072,0.106,0,1,1,1,1
51,8,8,L,TRUE,2.521,1.034,2.949,3.002,2.956,0.913,1.229,2.211,2.115,2.207,0.819,2.087,0.311,0.076,0.09,0,0,1,1,1
52,10,9,L,FALSE,2.086,0.882,1.15,1.533,3.02,0.968,1.165,1.442,1.004,2.249,1.268,2.368,2.323,0.7,0.156,0,0,0,1,1
53,10,10,L,TRUE,2.271,0.964,1.102,0.805,2.743,0.98,1.67,1.809,1.39,1.838,1.181,2.486,2.571,2.684,0.16,0,0,0,0,1
54,11,11,L,TRUE,2.008,2.937,2.981,1.364,1.436,0.748,2.178,2.257,1.32,1.353,1.279,0.171,0.224,1.629,1.566,0,1,1,0,0
55,12,12,L,TRUE,2.999,2.829,1.533,1.601,2.786,1.798,2.052,1.751,1.753,2.054,0.569,0.862,2.482,2.345,0.248,1,1,0,0,1
56,13,13,L,TRUE,2.174,2.939,1.308,1.092,1.247,0.756,2.244,1.463,1.317,1.658,1.135,0.531,2.104,2.185,2.02,0,1,0,0,0
57,14,14,L,TRUE,2.157,3.021,2.977,3.061,1.571,0.631,2.324,2.339,2.314,1.715,1.278,0.28,0.227,0.25,1.696,0,1,1,1,0
58,1,1,L,TRUE,2.095,0.643,0.924,1.015,1.357,1.071,0.666,0.864,0.995,1.573,1.149,2.122,2.031,2.22,2.25,0,0,0,0,0
59,2,2,L,TRUE,2.879,0.809,1.105,1.145,1.532,1.627,1.002,0.945,0.99,1.628,0.444,2.715,2.138,2.218,2.25,1,0,0,0,0
60,3,3,L,TRUE,3.027,2.896,1.666,1.292,1.713,1.838,2.082,1.367,1.096,1.556,0.334,0.74,1.934,2.178,2.301,1,1,0,0,0
61,4,4,L,TRUE,3.012,2.952,2.949,1.435,1.65,1.647,2.139,2.075,1.614,1.959,0.351,0.199,0.318,2.059,2.046,1,1,1,0,0
62,6,5,L,FALSE,2.713,2.964,2.956,2.706,2.075,1.769,2.239,2.288,2.154,1.887,0.619,0.253,0.21,0.596,1.338,1,1,1,1,0
63,6,6,L,TRUE,2.798,2.999,2.963,2.991,3.093,1.782,2.251,2.262,2.388,2.312,0.519,0.219,0.189,0.172,0.229,1,1,1,1,1
64,7,7,L,TRUE,1.936,3.008,3.013,2.985,3.065,0.654,2.244,2.312,2.494,2.347,1.328,0.188,0.116,0.054,0.082,0,1,1,1,1
65,8,8,L,TRUE,2.366,1.473,2.907,3.005,3.023,1.219,1.724,2.261,2.183,2.176,0.855,1.806,0.322,0.077,0.046,0,0,1,1,1
66,10,9,L,FALSE,2.163,0.896,1.219,1.251,2.976,1.03,1.251,1.539,0.979,2.244,1.149,2.414,2.299,0.648,0.163,0,0,0,1,1
67,10,10,L,TRUE,2.263,1.083,1.161,0.901,2.846,0.985,1.294,1.555,1.294,2.038,1.117,2.214,2.388,2.43,0.048,0,0,0,0,1
68,11,11,L,TRUE,1.819,2.919,2.907,1.326,1.604,0.513,2.151,2.169,1.386,1.595,1.454,0.19,0.281,1.86,1.757,0,1,1,0,0
69,12,12,L,TRUE,3.035,2.887,1.385,1.368,2.84,1.84,2.048,1.863,1.743,2.046,0.413,0.505,2.539,2.389,0.097,1,1,0,0,1
70,13,13,L,TRUE,2.259,3.013,1.569,1.425,1.464,0.966,2.242,1.594,1.599,1.964,0.991,0.469,1.821,2.145,2.052,0,1,0,0,0
71,14,14,L,TRUE,2.077,3.025,3.053,3.043,1.444,0.626,2.295,2.385,2.34,1.524,1.353,0.232,0.164,0.122,1.621,0,1,1,1,0
72,1,1,L,TRUE,2.234,0.47,0.677,0.765,1.15,1.219,0.724,0.634,0.736,1.283,1.001,2.801,2.183,2.308,2.339,0,0,0,0,0
73,2,2,L,TRUE,2.952,0.985,1.154,1.118,1.685,1.692,1.373,0.963,0.973,1.512,0.41,2.851,2.184,2.331,2.268,1,0,0,0,0
74,3,3,L,TRUE,3.045,2.957,1.622,1.272,1.796,1.668,2.317,1.422,1.139,1.617,0.26,0.557,2.012,2.32,2.437,1,1,0,0,0
75,0,4,L,FALSE,3.048,2.96,2.986,1.721,2.023,1.695,2.136,1.978,2.084,2.262,0.149,0.231,0.369,2.203,2.221,1,1,1,0,0
76,6,5,L,FALSE,2.933,3.047,3.015,2.799,2.106,1.761,2.21,2.24,2.253,1.931,0.513,0.177,0.161,0.556,1.34,1,1,1,1,0
77,6,6,L,TRUE,2.956,3.014,3,3.009,3.116,1.844,2.254,2.307,2.374,2.323,0.445,0.215,0.18,0.162,0.246,1,1,1,1,1
78,7,7,L,TRUE,1.925,3.005,3.025,2.991,3.077,0.745,2.277,2.311,2.483,2.348,1.346,0.174,0.09,0.096,0.116,0,1,1,1,1
79,8,8,L,TRUE,2.48,1.545,2.814,3.008,3.055,1.29,2.043,2.096,2.121,2.129,0.768,2.046,0.367,0.145,0.008,0,0,1,1,1
80,10,9,L,FALSE,2.304,0.95,1.233,0.682,2.914,1.016,1.162,1.514,0.755,2.075,1.003,2.22,2.297,0.919,0.097,0,0,0,1,1
81,10,10,L,TRUE,2.32,0.964,1.071,0.873,2.889,1.082,1.217,1.477,1.299,2.064,1.096,2.256,2.423,2.457,0.079,0,0,0,0,1
82,11,11,L,TRUE,1.826,2.967,2.933,1.27,1.453,0.553,2.243,2.209,1.526,1.658,1.473,0.211,0.251,2.005,1.822,0,1,1,0,0
83,12,12,L,TRUE,3.009,2.876,1.172,1.178,2.845,1.82,2.069,1.705,1.576,2.037,0.432,0.564,2.562,2.407,0.115,1,1,0,0,1
84,13,13,L,TRUE,2.22,3.056,1.493,1.505,1.586,0.977,2.31,1.636,1.743,2.128,1.018,0.366,1.883,2.12,2.046,0,1,0,0,0
85,14,14,L,TRUE,1.991,3.048,3.024,3.058,1.804,0.681,2.295,2.436,2.32,1.834,1.359,0.287,0.192,0.239,1.589,0,1,1,1,0
1,1,1,R,TRUE,2.341,0.914,0.758,0.847,0.915,1.306,0.93,0.74,0.847,1.056,0.898,2.229,2.376,2.389,2.261,0,0,0,0,0
2,2,2,R,TRUE,2.722,1.431,1.504,1.417,2.233,2.023,1.419,1.291,1.314,1.673,0.327,2.446,2.444,2.627,2.127,1,0,0,0,0
3,3,3,R,TRUE,2.516,2.756,1.991,1.842,2.416,2.069,2.293,1.439,1.3,1.594,0.493,0.264,1.987,2.147,1.956,1,1,0,0,0
4,4,4,R,TRUE,2.732,3.12,3.054,1.619,1.775,1.919,2.183,2.316,1.884,1.931,0.225,0.149,0.207,1.885,1.877,1,1,1,0,0
5,6,5,R,FALSE,3.034,3.049,3.074,3.085,2.925,1.973,2.168,2.337,2.484,1.973,0.12,0.09,0.07,0.208,0.945,1,1,1,1,0
6,6,6,R,TRUE,3.036,3.048,3.052,3.108,3.135,1.975,2.225,2.306,2.287,2.336,0.179,0.081,0.022,0.064,0.142,1,1,1,1,1
7,7,7,R,TRUE,2.108,3.088,3.08,3.044,3.116,0.967,2.26,2.309,2.458,2.468,1.11,0.154,0.052,0.07,0.046,0,1,1,1,1
8,8,8,R,TRUE,2.509,1.164,2.956,3.023,2.945,0.873,1.434,2.368,2.377,2.351,0.827,1.877,0.231,0.114,0.188,0,0,1,1,1
9,9,9,R,TRUE,2.639,0.847,1.268,2.747,2.942,0.89,1.057,1.461,1.585,2.193,0.77,2.147,2.049,0.384,0.287,0,0,0,1,1
10,10,10,R,TRUE,2.769,1.4,1.427,1.049,2.731,1.178,1.565,1.67,1.46,2.149,0.635,2.213,2.313,2.42,0.39,0,0,0,0,1
11,11,11,R,TRUE,2.117,3.029,3.077,1.636,1.799,0.808,2.227,2.239,1.769,1.886,1.071,0.199,0.137,1.73,1.661,0,1,1,0,0
12,12,12,R,TRUE,3.103,2.92,1.602,1.64,2.864,1.94,2.342,1.996,1.978,2.343,0.361,0.324,2.499,2.4,0.37,1,1,0,0,1
13,13,13,R,TRUE,2.256,2.98,1.767,1.799,2.353,0.793,2.102,1.552,1.432,1.854,0.969,0.327,1.945,2.091,1.928,0,1,0,0,0
14,14,14,R,TRUE,2.133,3.059,3.099,3.108,1.52,0.535,2.227,2.183,2.549,2.15,1.162,0.112,0.083,0.134,1.905,0,1,1,1,0
15,1,1,R,TRUE,1.994,0.624,0.932,0.919,1.37,0.841,1.401,0.991,1.118,1.618,1.299,2.824,2.353,2.636,2.123,0,0,0,0,0
16,2,2,R,TRUE,2.632,1.297,1.362,1.378,2.266,2.086,1.296,1.177,1.255,1.7,0.4,2.52,2.493,2.648,2.126,1,0,0,0,0
17,3,3,R,TRUE,2.569,2.882,1.699,1.536,1.974,1.958,2.294,1.434,1.279,1.591,0.431,0.32,2.107,2.252,2.118,1,1,0,0,0
18,4,4,R,TRUE,2.79,3.121,3.066,1.641,1.859,1.976,2.175,2.352,1.964,2.037,0.162,0.108,0.18,1.86,1.892,1,1,1,0,0
19,6,5,R,FALSE,2.987,3.08,2.996,2.291,2.181,1.925,2.304,2.506,1.895,2.177,0.292,0.149,0.04,0.773,1.609,1,1,1,1,0
20,6,6,R,TRUE,3.041,3.015,3.068,3.131,3.091,2.113,2.284,2.345,2.275,2.356,0.14,0.049,0.055,0.112,0.202,1,1,1,1,1
21,7,7,R,TRUE,2.099,3.126,3.095,3.111,3.058,0.857,2.213,2.246,2.364,2.417,1.144,0.262,0.095,0.094,0.207,0,1,1,1,1
22,8,8,R,TRUE,2.531,1.146,2.971,3.033,2.947,0.847,1.407,2.238,2.337,2.356,0.818,1.943,0.225,0.085,0.26,0,0,1,1,1
23,9,9,R,TRUE,2.602,0.657,1.068,2.897,2.92,0.751,0.846,1.211,1.701,2.242,0.829,2.248,2.042,0.28,0.267,0,0,0,1,1
24,10,10,R,TRUE,2.683,1.137,1.35,1.081,2.733,1.048,1.306,1.675,1.576,2.23,0.723,2.243,2.336,2.495,0.286,0,0,0,0,1
25,11,11,R,TRUE,2.226,3.043,3.06,1.422,1.596,0.682,2.223,2.22,1.509,1.637,1.014,0.154,0.101,1.737,1.624,0,1,1,0,0
26,12,12,R,TRUE,3.063,3.022,1.414,1.475,2.881,1.788,2.209,1.783,1.843,2.268,0.404,0.387,2.505,2.399,0.339,1,1,0,0,1
27,13,13,R,TRUE,2.304,2.992,1.759,1.77,2.501,0.786,2.134,1.497,1.369,1.748,0.943,0.339,1.943,2.157,2.002,0,1,0,0,0
28,14,14,R,TRUE,2.056,3.059,3.085,3.118,1.648,0.63,2.279,2.251,2.498,2.12,1.191,0.178,0.098,0.17,1.798,0,1,1,1,0
30,1,1,R,TRUE,2.411,0.766,0.747,0.824,1.383,1.038,0.889,0.728,0.861,1.43,0.862,2.387,2.379,2.488,2.192,0,0,0,0,0
31,2,2,R,TRUE,2.736,1.378,1.438,1.371,2.389,2.051,1.314,1.166,1.181,1.599,0.308,2.456,2.353,2.53,2.035,1,0,0,0,0
32,3,3,R,TRUE,2.514,2.896,1.404,1.338,1.669,1.832,2.255,1.313,1.189,1.46,0.45,0.379,2.163,2.217,2.087,1,1,0,0,0
33,4,4,R,TRUE,2.747,3.099,3.072,1.355,1.608,1.918,2.204,2.315,1.609,1.789,0.16,0.128,0.157,1.939,1.947,1,1,1,0,0
34,5,5,R,TRUE,3.102,3.06,3.058,3.046,2.066,1.94,2.268,2.245,2.138,1.964,0.323,0.098,0.108,0.346,1.658,1,1,1,1,0
35,6,6,R,TRUE,3.061,3.07,3.051,3.137,3.077,1.973,2.254,2.297,2.284,2.311,0.201,0.122,0.062,0.03,0.075,1,1,1,1,1
36,7,7,R,TRUE,2.327,3.055,3.056,3.058,3.077,0.989,2.284,2.315,2.409,2.454,0.922,0.132,0.047,0.085,0.109,0,1,1,1,1
37,8,8,R,TRUE,2.521,1.098,2.97,3.06,2.914,0.794,1.163,2.27,2.345,2.3,0.796,1.752,0.183,0.141,0.217,0,0,1,1,1
38,9,9,R,TRUE,2.593,0.664,1.043,2.956,2.877,0.727,0.757,1.167,1.778,2.185,0.846,2.098,2.059,0.316,0.192,0,0,0,1,1
39,10,10,R,TRUE,2.693,1.182,1.428,0.986,2.743,0.986,1.274,1.701,1.441,2.288,0.733,2.179,2.292,2.476,0.308,0,0,0,0,1
40,11,11,R,TRUE,2.154,3.034,3.071,1.63,1.971,0.726,2.267,2.291,1.749,1.952,1.055,0.218,0.135,1.788,1.765,0,1,1,0,0
41,12,12,R,TRUE,3.038,3.017,1.454,1.474,2.908,1.746,2.191,1.853,1.974,2.272,0.381,0.403,2.554,2.479,0.261,1,1,0,0,1
42,13,13,R,TRUE,2.438,3.047,1.758,1.772,2.097,0.789,2.137,1.652,1.493,1.815,0.832,0.387,1.946,2.178,2.053,0,1,0,0,0
43,14,14,R,TRUE,2.075,3.051,3.077,3.09,1.346,0.703,2.269,2.211,2.419,1.475,1.18,0.112,0.083,0.177,1.534,0,1,1,1,0
44,1,1,L,TRUE,2.504,1.085,1.142,1.207,1.285,1.035,1.155,1.121,1.258,1.386,0.9,2.599,2.697,2.715,2.767,0,0,0,0,0
45,0,2,L,FALSE,3.034,1.757,1.69,1.875,2.877,1.895,1.495,1.159,1.271,2.039,0.141,2.649,2.195,2.231,1.752,1,0,0,0,0
46,3,3,L,TRUE,3.048,2.836,1.92,1.617,2.366,1.832,2.227,1.373,1.161,1.493,0.148,0.423,2.057,2.218,2.336,1,1,0,0,0
47,0,4,L,FALSE,3.111,2.946,2.85,1.834,2.11,1.864,2.2,2.294,1.97,2.318,0.281,0.192,0.268,2.25,2.356,1,1,1,0,0
48,6,5,L,FALSE,3.096,2.94,2.919,3.021,2.319,1.77,2.13,2.17,2.186,2.201,0.348,0.119,0.101,0.347,1.424,1,1,1,1,0
49,6,6,L,TRUE,3.049,2.972,3.039,3.036,2.999,1.728,2.186,2.199,2.262,2.299,0.282,0.134,0.101,0.095,0.209,1,1,1,1,1
50,7,7,L,TRUE,2.196,3.02,3.114,3.017,3.018,0.789,2.227,2.251,2.291,2.341,1.088,0.109,0.117,0.09,0.267,0,1,1,1,1
51,8,8,L,TRUE,2.569,1.559,2.959,3.071,2.993,0.956,1.695,2.17,2.356,2.541,0.737,1.928,0.345,0.053,0.157,0,0,1,1,1
52,9,9,L,TRUE,2.564,1.261,1.37,2.677,3.072,0.768,1.586,1.739,1.888,2.445,0.922,2.059,2.11,0.704,0.046,0,0,0,1,1
53,0,10,L,FALSE,2.916,1.328,1.487,1.331,2.909,1.348,1.56,1.908,1.686,2.203,0.511,2.026,2.169,2.081,0.27,0,0,0,0,1
54,11,11,L,TRUE,2.399,2.968,2.887,1.7,1.887,0.929,2.099,2.093,1.489,1.682,0.834,0.2,0.176,1.722,1.762,0,1,1,0,0
55,12,12,L,TRUE,3.002,2.973,1.406,1.457,2.846,1.461,2.161,1.68,1.682,2.103,0.3,0.381,2.337,2.124,0.212,1,1,0,0,1
56,13,13,L,TRUE,2.593,3.048,1.967,2.056,2.162,1.047,2.189,1.681,1.448,1.624,0.797,0.382,1.905,2.04,2.172,0,1,0,0,0
57,14,14,L,TRUE,2.275,3,3.011,2.859,1.792,0.953,2.101,2.235,2.21,1.842,0.984,0.154,0.18,0.202,1.75,0,1,1,1,0
58,1,1,L,TRUE,2.517,1.151,1.277,1.315,1.454,1.056,1.338,1.215,1.318,1.41,0.872,2.708,2.638,2.685,2.594,0,0,0,0,0
59,2,2,L,TRUE,2.979,1.55,1.478,1.487,1.892,1.84,1.607,1.21,1.193,1.366,0.182,2.757,2.552,2.558,2.049,1,0,0,0,0
60,3,3,L,TRUE,2.973,2.949,1.651,1.54,1.948,1.755,2.276,1.395,1.209,1.447,0.118,0.418,2.206,2.297,2.348,1,1,0,0,0
61,4,4,L,TRUE,3.106,2.965,2.797,1.789,2.132,1.779,2.178,2.162,1.613,1.874,0.297,0.199,0.216,2.297,2.429,1,1,1,0,0
62,5,5,L,TRUE,3.127,2.955,2.94,2.939,1.998,1.794,2.131,2.202,2.408,2.172,0.344,0.118,0.092,0.218,1.796,1,1,1,1,0
63,6,6,L,TRUE,3.061,2.978,3.071,3.037,2.987,1.729,2.204,2.236,2.3,2.371,0.329,0.112,0.105,0.074,0.177,1,1,1,1,1
64,7,7,L,TRUE,2.071,2.953,3.084,2.984,2.957,0.673,2.19,2.292,2.353,2.406,1.192,0.031,0.082,0.101,0.314,0,1,1,1,1
65,8,8,L,TRUE,2.607,1.411,2.993,3.047,3.005,0.956,1.6,2.254,2.308,2.542,0.715,1.962,0.362,0.118,0.213,0,0,1,1,1
66,9,9,L,TRUE,2.661,1.048,1.234,2.761,2.981,0.853,1.309,1.505,1.906,2.326,0.804,2.054,2.103,0.518,0.25,0,0,0,1,1
67,10,10,L,TRUE,2.778,1.3,1.554,1.421,2.789,1.169,1.524,1.859,1.817,2.277,0.649,2.21,2.325,2.317,0.334,0,0,0,0,1
68,11,11,L,TRUE,2.116,2.961,3.015,1.656,1.767,0.732,2.139,2.294,1.676,1.772,1.115,0.031,0.168,1.747,1.727,0,1,1,0,0
69,12,12,L,TRUE,3.077,2.895,1.576,1.62,2.819,1.64,2.296,1.988,1.841,2.094,0.292,0.211,2.483,2.273,0.284,1,1,0,0,1
70,13,13,L,TRUE,2.394,2.948,2.095,2.282,2.606,1.032,2.259,1.606,1.448,1.639,0.865,0.207,2.131,2.086,2.097,0,1,0,0,0
71,14,14,L,TRUE,2.201,3.058,3.065,2.928,1.983,0.845,2.135,2.192,2.323,2.037,1.026,0.241,0.167,0.353,1.757,0,1,1,1,0
72,1,1,L,TRUE,2.371,1.646,1.424,1.371,2.139,1.138,1.252,1.061,1.053,1.241,0.898,2.289,2.328,2.478,2.263,0,0,0,0,0
73,2,2,L,TRUE,3.073,1.59,1.421,1.444,2.293,1.716,1.487,1.131,1.115,1.323,0.27,2.781,2.59,2.61,1.951,1,0,0,0,0
74,3,3,L,TRUE,2.987,2.84,1.775,1.709,2.211,1.766,2.355,1.426,1.265,1.436,0.124,0.349,2.311,2.372,2.311,1,1,0,0,0
75,4,4,L,TRUE,3.104,2.963,2.786,1.855,2.337,1.789,2.188,2.087,1.665,1.894,0.347,0.176,0.178,2.197,2.267,1,1,1,0,0
76,6,5,L,FALSE,3.035,2.945,2.946,2.617,2.098,1.702,2.109,2.148,1.721,2.027,0.387,0.192,0.162,0.651,1.561,1,1,1,1,0
77,6,6,L,TRUE,2.977,3.06,3.131,3.097,3.027,1.653,2.202,2.261,2.236,2.316,0.412,0.153,0.132,0.053,0.195,1,1,1,1,1
