,gesture,real,LR,match,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
46,3,3,L,True,3.122,2.98,1.171,0.829,1.067,1.785,2.114,1.095,0.865,1.371,0.296,0.601,1.881,2.228,2.306
47,4,4,L,True,3.014,2.933,2.941,1.175,1.385,1.661,2.133,2.076,1.486,1.808,0.373,0.238,0.367,2.123,2.017
48,7,5,L,False,2.554,2.989,2.976,2.986,2.018,1.628,2.142,2.192,2.273,1.594,0.723,0.286,0.193,0.437,1.276
49,7,6,L,False,2.61,2.974,2.967,3.009,3.095,1.604,2.219,2.234,2.31,2.246,0.661,0.272,0.192,0.168,0.162
50,7,7,L,True,1.76,2.967,2.989,3.005,3.088,0.482,2.284,2.304,2.442,2.399,1.53,0.197,0.112,0.072,0.106
51,8,8,L,True,2.521,1.034,2.949,3.002,2.956,0.913,1.229,2.211,2.115,2.207,0.819,2.087,0.311,0.076,0.09
52,10,9,L,False,2.086,0.882,1.15,1.533,3.02,0.968,1.165,1.442,1.004,2.249,1.268,2.368,2.323,0.7,0.156
53,10,10,L,True,2.271,0.964,1.102,0.805,2.743,0.98,1.67,1.809,1.39,1.838,1.181,2.486,2.571,2.684,0.16
54,11,11,L,True,2.008,2.937,2.981,1.364,1.436,0.748,2.178,2.257,1.32,1.353,1.279,0.171,0.224,1.629,1.566
55,12,12,L,True,2.999,2.829,1.533,1.601,2.786,1.798,2.052,1.751,1.753,2.054,0.569,0.862,2.482,2.345,0.248
56,13,13,L,True,2.174,2.939,1.308,1.092,1.247,0.756,2.244,1.463,1.317,1.658,1.135,0.531,2.104,2.185,2.02
57,14,14,L,True,2.157,3.021,2.977,3.061,1.571,0.631,2.324,2.339,2.314,1.715,1.278,0.28,0.227,0.25,1.696
58,1,1,L,True,2.095,0.643,0.924,1.015,1.357,1.071,0.666,0.864,0.995,1.573,1.149,2.122,2.031,2.22,2.25
59,2,2,L,True,2.879,0.809,1.105,1.145,1.532,1.627,1.002,0.945,0.99,1.628,0.444,2.715,2.138,2.218,2.25
60,3,3,L,True,3.027,2.896,1.666,1.292,1.713,1.838,2.082,1.367,1.096,1.556,0.334,0.74,1.934,2.178,2.301
61,4,4,L,True,3.012,2.952,2.949,1.435,1.65,1.647,2.139,2.075,1.614,1.959,0.351,0.199,0.318,2.059,2.046
62,6,5,L,False,2.713,2.964,2.956,2.706,2.075,1.769,2.239,2.288,2.154,1.887,0.619,0.253,0.21,0.596,1.338
63,6,6,L,True,2.798,2.999,2.963,2.991,3.093,1.782,2.251,2.262,2.388,2.312,0.519,0.219,0.189,0.172,0.229
64,7,7,L,True,1.936,3.008,3.013,2.985,3.065,0.654,2.244,2.312,2.494,2.347,1.328,0.188,0.116,0.054,0.082
65,8,8,L,True,2.366,1.473,2.907,3.005,3.023,1.219,1.724,2.261,2.183,2.176,0.855,1.806,0.322,0.077,0.046
66,10,9,L,False,2.163,0.896,1.219,1.251,2.976,1.03,1.251,1.539,0.979,2.244,1.149,2.414,2.299,0.648,0.163
67,10,10,L,True,2.263,1.083,1.161,0.901,2.846,0.985,1.294,1.555,1.294,2.038,1.117,2.214,2.388,2.43,0.048
68,11,11,L,True,1.819,2.919,2.907,1.326,1.604,0.513,2.151,2.169,1.386,1.595,1.454,0.19,0.281,1.86,1.757
69,12,12,L,True,3.035,2.887,1.385,1.368,2.84,1.84,2.048,1.863,1.743,2.046,0.413,0.505,2.539,2.389,0.097
70,13,13,L,True,2.259,3.013,1.569,1.425,1.464,0.966,2.242,1.594,1.599,1.964,0.991,0.469,1.821,2.145,2.052
71,14,14,L,True,2.077,3.025,3.053,3.043,1.444,0.626,2.295,2.385,2.34,1.524,1.353,0.232,0.164,0.122,1.621
72,1,1,L,True,2.234,0.47,0.677,0.765,1.15,1.219,0.724,0.634,0.736,1.283,1.001,2.801,2.183,2.308,2.339
73,2,2,L,True,2.952,0.985,1.154,1.118,1.685,1.692,1.373,0.963,0.973,1.512,0.41,2.851,2.184,2.331,2.268
74,3,3,L,True,3.045,2.957,1.622,1.272,1.796,1.668,2.317,1.422,1.139,1.617,0.26,0.557,2.012,2.32,2.437
75,0,4,L,False,3.048,2.96,2.986,1.721,2.023,1.695,2.136,1.978,2.084,2.262,0.149,0.231,0.369,2.203,2.221
76,6,5,L,False,2.933,3.047,3.015,2.799,2.106,1.761,2.21,2.24,2.253,1.931,0.513,0.177,0.161,0.556,1.34
77,6,6,L,True,2.956,3.014,3.0,3.009,3.116,1.844,2.254,2.307,2.374,2.323,0.445,0.215,0.18,0.162,0.246
78,7,7,L,True,1.925,3.005,3.025,2.991,3.077,0.745,2.277,2.311,2.483,2.348,1.346,0.174,0.09,0.096,0.116
79,8,8,L,True,2.48,1.545,2.814,3.008,3.055,1.29,2.043,2.096,2.121,2.129,0.768,2.046,0.367,0.145,0.008
80,10,9,L,False,2.304,0.95,1.233,0.682,2.914,1.016,1.162,1.514,0.755,2.075,1.003,2.22,2.297,0.919,0.097
81,10,10,L,True,2.32,0.964,1.071,0.873,2.889,1.082,1.217,1.477,1.299,2.064,1.096,2.256,2.423,2.457,0.079
82,11,11,L,True,1.826,2.967,2.933,1.27,1.453,0.553,2.243,2.209,1.526,1.658,1.473,0.211,0.251,2.005,1.822
83,12,12,L,True,3.009,2.876,1.172,1.178,2.845,1.82,2.069,1.705,1.576,2.037,0.432,0.564,2.562,2.407,0.115
84,13,13,L,True,2.22,3.056,1.493,1.505,1.586,0.977,2.31,1.636,1.743,2.128,1.018,0.366,1.883,2.12,2.046
85,14,14,L,True,1.991,3.048,3.024,3.058,1.804,0.681,2.295,2.436,2.32,1.834,1.359,0.287,0.192,0.239,1.589
