,gesture,real,LR,match,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
44,1,1,L,TRUE,2.206,1.214,1.301,1.221,1.411,0.991,1.263,1.117,1.002,1.065,1.144,2.549,2.468,2.531,2.506
45,2,2,L,TRUE,2.718,1.698,1.723,1.369,2.711,1.866,1.377,1.166,1.044,1.334,0.404,2.12,2.005,2.25,2.001
46,13,3,L,FALSE,2.462,2.508,1.707,1.13,1.415,1.141,2.154,1.118,0.926,1.045,0.821,0.316,2.177,2.593,2.604
47,4,4,L,TRUE,3.022,2.879,2.475,1.858,2.632,1.906,2.162,1.737,1.21,1.374,0.119,0.128,0.333,1.989,2.122
48,14,5,L,FALSE,2.319,3.083,3.053,2.798,2.117,1.423,2.173,2.088,1.705,1.923,0.727,0.294,0.151,0.633,1.653
49,6,6,L,TRUE,2.52,2.96,3.005,3.027,3.105,1.955,2.21,2.224,2.55,2.25,0.458,0.127,0.216,0.376,0.74
50,7,7,L,TRUE,1.539,3.04,3.129,2.955,2.915,0.645,2.221,2.311,2.514,2.299,1.594,0.048,0.091,0.109,0.451
51,8,8,L,TRUE,2.347,0.979,3.067,2.931,2.984,0.937,1.869,2.27,2.357,2.136,0.894,2.455,0.175,0.08,0.336
52,10,9,L,FALSE,2.323,1.468,1.507,1.923,2.884,0.957,1.704,1.717,1.387,2.286,0.964,2.008,1.962,1.067,0.192
53,10,10,L,TRUE,2.046,0.967,0.927,1.111,2.826,1.002,1.221,1.131,1.463,2.155,1.155,2.408,2.49,2.423,0.405
54,11,11,L,TRUE,1.852,2.859,2.755,1.749,2.139,0.893,2.077,2.242,1.467,1.615,1.334,0.113,0.157,2.151,2.326
55,12,12,L,TRUE,3.047,2.989,1.629,1.66,2.302,1.741,2.243,1.741,1.736,1.397,0.161,0.225,2.203,2.225,0.911
56,13,13,L,TRUE,1.79,2.863,1.897,1.632,2.011,0.969,2.362,1.347,1.236,1.588,1.44,0.165,2.203,2.37,2.554
57,14,14,L,TRUE,1.964,3.1,3.04,2.519,1.936,1.021,2.226,2.363,1.335,1.877,1.369,0.198,0.265,0.952,1.883
58,1,1,L,TRUE,2.656,1.363,1.486,1.309,1.427,1.451,1.44,1.591,1.397,1.478,0.62,1.533,1.719,1.779,1.762
59,3,2,L,FALSE,2.732,1.963,2.021,1.71,2.789,1.963,1.564,1.303,1.224,1.541,0.359,1.981,1.939,2.163,1.904
60,3,3,L,TRUE,2.794,2.907,1.989,0.971,1.511,1.949,1.743,1.099,0.825,1.069,0.4,0.553,1.902,2.387,2.397
61,0,4,L,FALSE,3.016,2.844,2.75,1.931,2.21,2,2.056,1.935,1.748,2.01,0.146,0.179,0.556,1.942,2.243
62,14,5,L,FALSE,2.397,3.102,3.071,2.914,2.196,1.443,2.165,2.084,1.775,1.788,0.665,0.223,0.141,0.534,1.609
63,7,6,R,FALSE,2.395,3.102,3.066,3.025,2.984,0.848,2.245,2.363,2.367,2.414,1.041,0.15,0.324,0.414,0.513
64,7,7,L,TRUE,1.676,2.983,3.062,2.956,2.978,0.563,2.239,2.301,2.452,2.278,1.511,0.095,0.062,0.101,0.379
65,8,8,L,TRUE,2.458,1.23,3.013,2.906,2.975,1.003,1.702,2.414,2.412,2.104,0.778,2.186,0.271,0.124,0.289
66,9,9,L,TRUE,2.661,1.095,1.41,2.305,2.866,1.203,1.107,1.352,1.434,2.283,0.684,1.715,1.813,0.871,0.341
67,10,10,L,TRUE,2.054,0.731,0.811,0.933,2.912,0.829,0.948,1.029,1.235,2.2,1.203,2.321,2.431,2.322,0.417
68,11,11,L,TRUE,1.767,2.824,2.756,1.782,2.129,0.802,2.086,2.274,1.523,1.701,1.433,0.208,0.165,2.119,2.249
69,3,12,L,FALSE,3.013,2.923,1.54,1.606,1.947,1.702,2.217,1.71,1.719,1.296,0.298,0.249,2.24,2.198,0.948
70,13,13,L,TRUE,1.892,2.892,1.889,1.614,1.899,1.012,2.425,1.334,1.182,1.312,1.395,0.222,2.344,2.496,2.586
71,7,14,L,FALSE,1.985,3.052,3.075,2.8,2.035,0.635,2.135,2.12,1.657,1.711,1.224,0.208,0.01,0.197,1.34
73,1,1,L,TRUE,2.191,1.477,1.765,1.591,2.357,1.214,1.391,1.31,1.241,1.542,1.012,2.087,2.008,2.285,2.221
74,3,2,L,FALSE,2.747,1.896,2.215,1.947,2.651,2.102,1.525,1.376,1.288,1.531,0.283,2.038,1.933,2.14,2.061
75,1,3,R,FALSE,2.323,1.406,1.322,1.366,2.016,1.444,1.103,0.974,1.018,1.144,1.054,2.261,1.936,2.312,2.074
76,4,4,L,TRUE,2.671,2.995,2.728,1.583,2.537,1.99,2.214,2.05,1.312,1.723,0.32,0.203,0.303,2.155,2.237
77,14,5,L,FALSE,2.323,3.06,3.114,2.805,2.046,1.729,2.136,2.093,1.966,1.94,0.688,0.169,0.13,0.333,1.951
78,6,6,L,TRUE,2.607,3.029,3.089,3.047,3.03,2.23,2.232,2.29,2.443,2.332,0.335,0.067,0.037,0.103,0.298
79,7,7,L,TRUE,1.869,3.073,3.079,2.976,3.052,0.723,2.248,2.327,2.661,2.179,1.344,0.038,0.138,0.205,0.572
80,8,8,L,TRUE,2.114,1.305,2.927,2.871,2.934,1.047,1.664,2.432,2.472,2.355,1.104,2.042,0.208,0.099,0.274
81,9,9,L,TRUE,2.056,0.812,0.858,2.42,2.625,0.951,1.144,1.103,1.824,2.149,1.311,2.489,2.323,0.662,0.472
82,10,10,L,TRUE,2.039,0.896,0.904,1.103,2.673,0.962,1.049,0.932,1.18,1.97,1.17,2.275,2.219,2.228,0.417
83,0,11,L,FALSE,1.881,2.967,3.037,1.932,2.106,1.076,2.199,2.397,1.905,2.229,1.292,0.017,0.107,2.114,2.224
84,3,12,L,FALSE,3.012,2.935,1.909,1.845,1.64,1.741,2.303,1.834,1.637,1.472,0.269,0.253,2.308,2.296,1.746
85,13,13,L,TRUE,2.032,2.985,2.029,2.049,2.385,1.15,2.293,1.576,1.376,1.515,1.228,0.183,2.19,2.253,2.259
86,14,14,L,TRUE,1.952,2.904,2.96,2.603,1.74,0.621,2.188,2.26,1.932,1.657,1.449,0.099,0.056,0.28,1.744
